Fashion Theme`Interior Theme`Obtained From`Purchase Price`Sells For`Set`cataloged`name`reorderable`
-`Antique, Quirky`Labelle`320`80`-`False`bat umbrella`True`
-`None`Labelle`320`80`-`False`beach umbrella`True`
-`Trendy`Labelle`320`80`-`False`blue dot parasol`True`
-`None`Labelle`320`80`-`False`blue umbrella`True`
-`Quirky`Labelle`160`40`-`False`busted umbrella`True`
-`None`Labelle`320`80`-`False`camo umbrella`True`
-`None`Labelle`320`80`-`False`candy umbrella`True`
-`Fairy Tale, Rustic`Labelle`320`80`-`False`daisy umbrella`True`
-`Trendy`Labelle`320`80`-`False`eggy parasol`True`
-`Trendy`GracieGrace`3200`800`-`False`elegant umbrella`False`
-`None`Labelle`320`80`-`False`flame umbrella`True`
-`Rustic`Labelle`320`80`-`False`forest umbrella`True`
-`Toy Shop, Trendy`Labelle`320`80`-`False`gelato umbrella`True`
-`Toy Shop`Labelle`352`88`-`False`ghost umbrella`True`
-`Trendy`GracieGrace`3200`800`-`False`gracie umbrella`False`
-`None`Labelle`320`80`-`False`green umbrella`True`
-`Fairy Tale`Labelle`320`80`-`False`lacy parasol`True`
-`Rustic`Labelle`320`80`-`False`leaf umbrella`True`
-`None`Labelle`320`80`-`False`lemon umbrella`True`
-`None`Labelle`320`80`-`False`leopard umbrella`True`
-`Rustic`Labelle`320`80`-`False`maple umbrella`True`
-`None`Labelle`320`80`-`False`melon umbrella`True`
-`None`Labelle`320`80`-`False`mint umbrella`True`
-`Trendy`GracieGrace (spring)`3200`800`-`False`modern umbrella`False`
-`Harmonious`Labelle`320`80`-`False`paper parasol`True`
-`None`Labelle`320`80`-`False`paw umbrella`True`
-`Antique, Fairy Tale`Fortune cookie #7`-`210`-`False`peach's parasol`False`
-`Fairy Tale, Rustic`GracieGrace (spring)`3200`800`-`False`petal parasol`False`
-`None`Labelle`320`80`-`False`picnic umbrella`True`
-`None`Labelle`320`80`-`False`red umbrella`True`
-`Fairy Tale`Labelle`320`80`-`False`ribbon umbrella`True`
-`Quirky`Labelle`320`80`-`False`spider umbrella`True`
-`Fairy Tale, Rustic`Labelle`320`80`-`False`sunny parasol`True`
-`Trendy`Labelle`320`80`-`False`toad parasol`True`
-`None`Labelle`320`80`-`False`yellow umbrella`True`
-`None`Labelle`320`80`-`False`zebra umbrella`True`
