Fashion Theme`Interior Theme`Obtained From`Purchase Price`Sells For`Set`cataloged`name`reorderable`
Iconic`None`Kicks`160`40`-`False`argyle socks`True`
Iconic`None`Kicks`200`50`-`False`argyle tights`True`
Basic`None`Kicks`200`50`-`False`beige tights`True`
Basic`None`Kicks`120`30`-`False`black ankle socks`True`
Cute`None`Kicks`240`60`-`False`black leggings`True`
Official`None`Kicks`240`60`-`False`black stockings`True`
Official`None`Kicks`160`40`-`False`black tights`True`
Sporty`None`Kicks`240`60`-`False`blue-stripe tights`True`
Basic`None`Kicks`160`40`-`False`bobby socks`True`
Basic`None`Kicks`160`40`-`False`brown socks`True`
Basic`None`Kicks`200`50`-`False`brown-stripe socks`True`
Basic`None`Kicks`160`40`-`False`checkered socks`True`
Flashy`None`Kicks`160`40`-`False`colorful socks`True`
Official`None`Kicks`120`30`-`False`dress socks`True`
Ornate`None`Kicks`240`60`-`False`fishnet tights`True`
Cute`None`Kicks`240`60`-`False`gray leggings`True`
Basic`None`Kicks`160`40`-`False`gray socks`True`
Basic`None`Kicks`160`40`-`False`gray tights`True`
Basic`None`Kicks`160`40`-`False`green-stripe socks`True`
Cute`None`Kicks`200`50`-`False`green tights`True`
Cute`Fairy Tale`Kicks`240`60`-`False`heart-print tights`True`
Sporty`None`Kicks`240`60`-`False`hiking gaiters`True`
Sporty`None`Kicks`160`40`-`False`leg warmers`True`
Official`None`Kicks`160`40`-`False`navy socks`True`
Cute`Trendy`Kicks`200`50`-`False`polka-dot socks`True`
Cute`None`Kicks`160`40`-`False`purple star socks`True`
Cute`Trendy`Kicks`200`50`-`False`purple-stripe tights`True`
Ornate`None`Kicks`300`75`-`False`rainbow tights`True`
Basic`None`Kicks`200`50`-`False`red tights`True`
Sporty`None`Kicks`160`40`-`False`soccer socks`True`
Cute`None`Kicks`200`50`-`False`star tights`True`
Basic`None`Kicks`160`40`-`False`tube socks`True`
Basic`None`Kicks`160`40`-`False`white ankle socks`True`
Cute`None`Kicks`120`30`-`False`white-lace socks`True`
Basic`None`Kicks`160`40`-`False`white socks`True`
Official`None`Kicks`160`40`-`False`white stockings`True`
