Obtained From`Sells For`cataloged`name`reorderable`
Gardening Store (after the TIY arrives)`30`False`blue-hydrangea start`False`
Gardening Store`15`False`cedar sapling`False`
Gardening Store (after the TIY arrives)`30`False`holly start`False`
Gardening Store (after the TIY arrives)`30`False`pink-azalea start`False`
Gardening Store (after the TIY arrives)`30`False`pink-hydrangea start`False`
Island Gift Shop`5 medals`-`False`red-hibiscus start`False`
Gardening Store`15`False`sapling`False`
Gardening Store (after the TIY arrives)`30`False`sweet-olive start`False`
Gardening Store (after the TIY arrives)`30`False`white-azalea start`False`
Island Gift Shop`5 medals`-`False`y.-hibiscus start`False`
